Time,TargetRows,ThreadCount,BatchSize,ElapsedMilliseconds
06/02/2018 22:56:15,100000,1,100000,3747
06/02/2018 22:56:17,100000,1,100000,1641
06/02/2018 22:56:18,100000,1,100000,1596
06/02/2018 22:56:19,100000,1,10000,1166
06/02/2018 22:56:21,100000,1,10000,1197
06/02/2018 22:56:22,100000,1,10000,1298
06/02/2018 22:56:23,100000,1,10000,1213
06/02/2018 22:56:24,100000,1,10000,1134
06/02/2018 22:56:26,100000,1,10000,1267
06/02/2018 22:56:27,100000,1,10000,1515
06/02/2018 22:56:28,100000,1,10000,1185
06/02/2018 22:56:30,100000,1,10000,1343
06/02/2018 22:56:32,100000,1,10000,2265
06/02/2018 22:56:35,100000,1,1000,2695
06/02/2018 22:56:36,100000,1,1000,1374
06/02/2018 22:56:38,100000,1,1000,2219
06/02/2018 22:56:40,100000,1,1000,2121
06/02/2018 22:56:43,100000,1,1000,2283
06/02/2018 22:56:45,100000,1,1000,2495
06/02/2018 22:56:49,100000,1,1000,3611
06/02/2018 22:56:51,100000,1,1000,1832
06/02/2018 22:56:53,100000,1,1000,2361
06/02/2018 22:56:56,100000,1,1000,2975
06/02/2018 22:57:02,100000,1,100,6355
06/02/2018 22:57:08,100000,1,100,5209
06/02/2018 22:57:11,100000,1,100,3298
06/02/2018 22:57:14,100000,1,100,3315
06/02/2018 22:57:18,100000,1,100,3893
06/02/2018 22:57:22,100000,1,100,4197
06/02/2018 22:57:31,100000,1,100,8242
06/02/2018 22:57:33,100000,1,100,2439
06/02/2018 22:57:37,100000,1,100,3476
06/02/2018 22:57:40,100000,1,100,3238
